classe,predicado,alcance,betweenness,posicao_alcance,posicao_betweenness
Class DoS/DDoS,psh_flag_number <= 0.45,0.588626567499427,0.0221397682517126,215,36
Class DoS/DDoS,Variance <= 3350968.12,0.5886023974679249,0.0016008350657438,216,234
Class DoS/DDoS,Header_Length <= 32.4,0.5878365795826163,0.0171881441716446,217,43
Class DoS/DDoS,syn_flag_number <= 0.05,0.5856968303193351,0.0435602571862143,218,16
Class DoS/DDoS,Header_Length <= 33.8,0.5848967203694169,0.0062103628851872,219,113
Class DoS/DDoS,Std > 598.22,0.5840338660250636,0.0054472250730243,220,131
Class DoS/DDoS,Tot size <= 138.05,0.5830857470225642,0.0,221,348
Class DoS/DDoS,Variance <= 534782.66,0.5823664141350905,0.0,222,348
Class DoS/DDoS,fin_flag_number <= 0.0,0.5812044691996378,0.0141092778260221,223,50
Class DoS/DDoS,Tot sum > 653.0,0.5791885385934556,0.0075743620781909,224,95
Class DoS/DDoS,Rate > 121.29,0.5785712796536883,0.0025130917607431,225,215
Class DoS/DDoS,Rate <= 335.24,0.5780269062390947,0.0051402156083611,226,141
Class DoS/DDoS,Time_To_Live <= 241.65,0.5762270938600306,0.0110918133733322,227,72
Class DoS/DDoS,TCP <= 0.35,0.5739493194372141,0.0109426944904958,228,73
Class DoS/DDoS,IAT <= 0.04,0.5734353803293059,0.0,229,348
Class DoS/DDoS,Header_Length > 23.8,0.570891010140231,3.5086795961509786e-05,230,315
Class DoS/DDoS,Rate <= 1765.69,0.5686098050695467,0.0029385191617764,231,200
Class DoS/DDoS,Header_Length <= 33.0,0.5679596099814946,0.0113242633965772,232,69
Class DoS/DDoS,Rate > 329.77,0.5630756763466584,0.0029385191617764,233,200
Class DoS/DDoS,Number <= 55.0,0.5603133673260997,0.0182363622009947,234,42
Class DoS/DDoS,Max > 1493.5,0.558427817583925,0.0074559441418208,235,96
Class DoS/DDoS,Rate <= 10256.96,0.5563148945541649,0.0090918660035262,236,86
Class DoS/DDoS,Max <= 5051.5,0.5539778270789958,0.0029385191617764,237,200
Class DoS/DDoS,Tot sum > 7960.5,0.5532897939322732,0.0097322000298237,238,80
Class DoS/DDoS,Max <= 1499.0,0.5528623328506505,0.005951597764971,239,119
Class DoS/DDoS,Std > 426.91,0.5519170702795362,0.0,240,348
Class DoS/DDoS,Max > 2931.5,0.5515186505879841,0.0018859152829311,241,224
Class DoS/DDoS,Time_To_Live > 69.85,0.5471832451539353,0.0068243818145136,242,98
Class DoS/DDoS,HTTPS <= 0.95,0.5461811992413871,0.004789347648746,243,146
Class DoS/DDoS,Min <= 154.0,0.5454303290516306,0.0013420699455277,244,259
Class DoS/DDoS,psh_flag_number > 0.05,0.5441868366073429,0.0035920107365595,245,182
Class DoS/DDoS,AVG <= 201.35,0.5419342436488622,0.0199600010526038,246,41
Class DoS/DDoS,Tot sum <= 3520.0,0.538368720121229,0.0018157416910081,247,226
Class DoS/DDoS,Max <= 1513.0,0.5378495907463233,0.009925177407612,248,79
Class DoS/DDoS,Tot sum > 631.0,0.5373072601993749,0.0057849354841539,249,122
Class DoS/DDoS,Time_To_Live > 62.45,0.5344813747605061,0.0026797540415603,250,210
Class DoS/DDoS,AVG <= 3404.2,0.5340006043210244,0.0026797540415603,251,210
Class DoS/DDoS,ack_flag_number > 0.85,0.5329592899539121,0.0149513609290983,252,49
Class DoS/DDoS,Rate <= 14492.19,0.532349852424599,0.0019429313263686,253,223
Class DoS/DDoS,Rate <= 561.46,0.5292543007017075,0.0044911098830732,254,157
Class DoS/DDoS,Tot sum <= 3514.0,0.5281683564441221,0.0047367174548038,255,149
Class DoS/DDoS,Header_Length > 21.8,0.5265447287343116,0.0056928326447549,256,124
Class DoS/DDoS,Variance > 680547.12,0.523509084173975,0.0022850275869933,257,219
Class DoS/DDoS,syn_count <= 4.5,0.5227603832819793,0.0105391963369385,258,75
Class DoS/DDoS,Header_Length > 12.4,0.5220410736350987,0.0026797540415603,259,210
Class DoS/DDoS,Max <= 1493.5,0.5175682721435217,0.0099865793005447,260,78
Class DoS/DDoS,DHCP <= 0.05,0.5162011496866972,0.0020350341657675,261,222
Class DoS/DDoS,Max <= 1502.0,0.5156443196480621,0.0045305825285299,262,153
